,density,relative_humidity,Run,BurnedOut,height,width
0,0.01,1,0,0.03,100,100
1,0.01,2,1,0.0,100,100
2,0.01,3,2,0.012345679012345678,100,100
3,0.01,4,3,0.012048192771084338,100,100
4,0.01,5,4,0.0,100,100
5,0.01,6,5,0.010638297872340425,100,100
6,0.01,7,6,0.02830188679245283,100,100
7,0.01,8,7,0.0,100,100
8,0.01,9,8,0.0,100,100
9,0.01,10,9,0.018518518518518517,100,100
10,0.01,11,10,0.010752688172043012,100,100
11,0.01,12,11,0.01818181818181818,100,100
12,0.01,13,12,0.022988505747126436,100,100
13,0.01,14,13,0.008928571428571428,100,100
14,0.01,15,14,0.02127659574468085,100,100
15,0.01,16,15,0.0,100,100
16,0.01,17,16,0.011235955056179775,100,100
17,0.01,18,17,0.01020408163265306,100,100
18,0.01,19,18,0.009900990099009901,100,100
19,0.01,20,19,0.0,100,100
20,0.01,21,20,0.00980392156862745,100,100
21,0.01,22,21,0.009174311926605505,100,100
22,0.01,23,22,0.010101010101010102,100,100
23,0.01,24,23,0.030927835051546393,100,100
24,0.01,25,24,0.0,100,100
25,0.01,26,25,0.009345794392523364,100,100
26,0.01,27,26,0.009009009009009009,100,100
27,0.01,28,27,0.01834862385321101,100,100
28,0.01,29,28,0.0,100,100
29,0.01,30,29,0.0,100,100
30,0.01,31,30,0.03225806451612903,100,100
31,0.01,32,31,0.0,100,100
32,0.01,33,32,0.0,100,100
33,0.01,34,33,0.020202020202020204,100,100
34,0.01,35,34,0.008333333333333333,100,100
35,0.01,36,35,0.0,100,100
36,0.01,37,36,0.010752688172043012,100,100
37,0.01,38,37,0.0,100,100
38,0.01,39,38,0.0,100,100
39,0.01,40,39,0.0,100,100
40,0.01,41,40,0.012048192771084338,100,100
41,0.01,42,41,0.008264462809917356,100,100
42,0.01,43,42,0.0,100,100
43,0.01,44,43,0.0,100,100
44,0.01,45,44,0.017699115044247787,100,100
45,0.01,46,45,0.020202020202020204,100,100
46,0.01,47,46,0.009523809523809525,100,100
47,0.01,48,47,0.019230769230769232,100,100
48,0.01,49,48,0.010638297872340425,100,100
49,0.01,50,49,0.01098901098901099,100,100
50,0.01,51,50,0.030927835051546393,100,100
51,0.01,52,51,0.009615384615384616,100,100
52,0.01,53,52,0.0,100,100
53,0.01,54,53,0.011111111111111112,100,100
54,0.01,55,54,0.0,100,100
55,0.01,56,55,0.0,100,100
56,0.01,57,56,0.0,100,100
57,0.01,58,57,0.007936507936507936,100,100
58,0.01,59,58,0.00909090909090909,100,100
59,0.01,60,59,0.009345794392523364,100,100
60,0.01,61,60,0.0,100,100
61,0.01,62,61,0.0,100,100
62,0.01,63,62,0.0,100,100
63,0.01,64,63,0.009345794392523364,100,100
64,0.01,65,64,0.0,100,100
65,0.01,66,65,0.0,100,100
66,0.01,67,66,0.03,100,100
67,0.01,68,67,0.023529411764705882,100,100
68,0.01,69,68,0.01020408163265306,100,100
69,0.01,70,69,0.01098901098901099,100,100
70,0.01,71,70,0.009523809523809525,100,100
71,0.01,72,71,0.0196078431372549,100,100
72,0.01,73,72,0.0,100,100
73,0.01,74,73,0.019230769230769232,100,100
74,0.01,75,74,0.022727272727272728,100,100
75,0.01,76,75,0.0,100,100
76,0.01,77,76,0.0,100,100
77,0.01,78,77,0.0,100,100
78,0.01,79,78,0.031578947368421054,100,100
79,0.01,80,79,0.0,100,100
80,0.01,81,80,0.0,100,100
81,0.01,82,81,0.0,100,100
82,0.01,83,82,0.019801980198019802,100,100
83,0.01,84,83,0.008695652173913044,100,100
84,0.01,85,84,0.019801980198019802,100,100
85,0.01,86,85,0.04081632653061224,100,100
86,0.01,87,86,0.025423728813559324,100,100
87,0.01,88,87,0.0,100,100
88,0.01,89,88,0.0,100,100
89,0.01,90,89,0.009708737864077669,100,100
90,0.01,91,90,0.010526315789473684,100,100
91,0.01,92,91,0.011235955056179775,100,100
92,0.01,93,92,0.009708737864077669,100,100
93,0.01,94,93,0.02727272727272727,100,100
94,0.01,95,94,0.0,100,100
95,0.01,96,95,0.0,100,100
96,0.01,97,96,0.0,100,100
97,0.01,98,97,0.0,100,100
